73	64
54	5
18	75
29	4
30	54
10	45
64	64
41	86
15	61
41	21
78	46
67	58
52	47
62	53
87	64
32	55
57	51
93	81
14	65
14	64
74	20
78	9
98	16
22	77
95	66
93	48
29	64
47	70
36	56
16	15
96	83
27	0
53	36
77	92
66	80
1	34
92	56
4	84
17	46
49	51
37	91
61	53
38	55
88	34
4	13
83	7
65	25
67	59
8	28
40	68
69	88
67	24
40	23
65	65
69	68
78	0
69	50
72	79
48	84
99	98
96	93
95	83
4	75
17	86
42	34
7	33
3	13
25	86
77	5
14	59
75	28
58	89
16	5
61	19
55	27
23	19
59	90
43	12
30	45
72	17
25	16
42	39
34	90
15	17
37	50
35	28
37	97
91	98
25	4
76	61
7	88
61	79
27	47
46	87
48	75
17	44
42	95
46	99
87	70
97	8
0	28
24	96
78	81
53	87
75	73
44	54
22	50
33	33
32	67
16	69
88	55
95	82
48	66
86	83
13	23
31	66
64	30
53	42
69	71
69	73
82	45
75	4
16	48
93	46
43	15
25	11
61	64
36	42
18	85
53	92
25	25
37	84
29	48
97	83
74	94
84	89
19	2
21	20
34	86
46	22
74	96
24	55
27	42
57	79
60	54
41	43
47	80
97	25
1	62
51	83
