44	44	72
2	73	63
22	98	69
50	31	64
38	80	25
21	7	47
57	89	40
23	28	40
82	78	29
20	92	48
8	12	28
14	100	60
73	68	8
83	16	62
43	10	66
9	85	37
91	24	66
72	8	71
71	67	44
33	39	46
98	48	22
36	57	2
0	58	61
29	34	4
89	18	37
69	68	66
69	73	66
18	48	71
47	38	28
26	93	20
18	43	64
39	36	28
97	65	39
78	66	10
90	82	60
22	68	34
20	14	23
29	43	74
79	43	24
89	10	44
93	19	50
43	62	15
85	21	49
70	14	96
99	78	17
43	96	32
76	64	95
84	62	99
61	1	57
95	69	14
75	94	59
60	61	99
64	98	15
84	83	46
94	75	72
4	25	43
91	58	32
26	93	48
100	23	47
67	41	82
38	45	72
8	44	3
28	91	80
71	3	12
78	36	47
2	37	100
52	28	29
87	55	92
73	87	68
1	82	47
78	4	14
89	67	13
52	9	3
57	55	7
45	86	5
80	24	70
13	72	55
51	40	87
86	54	72
41	27	71
5	21	30
10	59	27
55	51	0
76	38	84
38	52	40
36	44	2
2	50	91
10	68	16
38	38	0
54	40	61
47	43	72
24	19	0
34	38	7
19	4	49
85	17	86
0	55	4
71	80	31
28	0	1
2	16	12
95	10	62
34	82	91
81	71	69
97	55	29
67	50	44
51	86	31
96	48	100
22	25	81
61	25	78
1	86	47
41	15	7
48	53	85
30	41	29
49	95	64
43	18	98
29	69	89
56	78	75
99	89	23
3	30	38
69	7	63
49	8	76
95	65	9
57	63	46
19	85	47
11	2	11
27	62	39
75	50	56
23	22	42
65	42	40
12	34	93
85	53	71
74	9	51
79	63	53
50	25	9
46	48	5
34	25	51
24	55	84
48	90	28
89	87	37
90	23	67
17	72	83
66	82	21
72	45	97
39	59	36
51	43	7
13	100	9
29	25	91
1	54	90
7	76	78
5	25	40
15	39	85
