33 67 77 65 58 54
62 76 89 81 75 69
53 60 70 79 74 80 
100 69 86 77 80 78 
75 66 79 84 69 95 
67 86 71 72 80 67 
65 68 73 55 63 67 
80 71 64 72 57 56 
50 61 60 62 56 59 
58 51 54 53 52 49 
43 52 52 55 55 52 
50 53 52 55 55 46 
45 48 54 59 61 58 
51 48 54 46 47 45 
28 35 38 39 39 34 
32 32 32 32 33 31 
26 32 32 35 37 34 
32 33 34 30 32 29 
25 29 29 32 29 30 
28 29 31 30 27 29 
25 27 27 28 28 25 
25 22 23 25 24 22 
18 22 29 23 23 23 
21 21 21 22 22 22 
17 23 24 24 25 23 
21 21 24 23 22 21 
19 20 24 23 23 21 
20 19 20 22 23 21 
18 20 20 21 20 19 
18 19 19 19 20 19 
15 20 17 22 18 19 
